Date,Time_MPP_h,Efficiency (%),Power (W),Voltage (V),Current (mA cm-2),Temperature (°C),Sun (-),Humidity (%)
,1.896222222222222,5.805985843060333,0.000013760186448052991,-1.4739398956298828,-0.000009335718459624331,19.4,0.00474,44.3
,1.8967880555555556,5.933316159334817,0.000013676293747266755,-1.4670451879501343,-0.000009322357982455287,19.4,0.00461,44.3
,1.8973355555555556,5.790650037699626,0.00001363698083878262,-1.466222882270813,-0.00000930072656046832,19.4,0.00471,44.3
,1.8978913888888889,5.701645928463338,0.000013598425539385062,-1.4664112329483032,-0.00000927320979826618,19.4,0.00477,44.3
,1.8984555555555553,5.829333609172032,0.000013640640645462554,-1.4680293798446655,-0.000009291698916058522,19.3,0.00468,44.3
,1.8990066666666667,6.131905852920942,0.000013735469110542908,-1.4686994552612305,-0.000009352160304842982,19.3,0.00448,44.3
,1.8995769444444444,5.77181647249246,0.00001367920503980713,-1.4690418243408203,-0.000009311665962741245,19.3,0.00474,44.3
,1.9001316666666668,5.793256664709691,0.000013701052012038417,-1.4683045148849487,-0.000009331137334811501,19.3,0.00473,44.3
,1.9006758333333333,5.7028748218938174,0.000013743928320764098,-1.4751331806182861,-0.000009317113836004864,19.3,0.00482,44.3
,1.9012327777777778,5.84906614614396,0.000013686814781976864,-1.479328989982605,-0.000009252004019799642,19.3,0.00468,44.3
,1.9017888888888888,6.041557151240648,0.000013955997019365896,-1.4813162088394165,-0.000009421394679520745,19.3,0.00462,44.3
,1.902346111111111,6.090920875059227,0.000013826390386384446,-1.4851505756378174,-0.000009309696906711906,19.3,0.00454,44.3
,1.9029130555555556,6.0564244010712525,0.000014050904610485304,-1.4880331754684448,-0.000009442542250326369,19.3,0.00464,44.3
,1.9034630555555554,5.984031319865045,0.000013942792975285556,-1.484897255897522,-0.000009389774277224205,19.3,0.00466,44.3
,1.9040191666666666,6.173691796097764,0.000013983411918161437,-1.485126256942749,-0.000009415698514203541,19.3,0.00453,44.3
,1.9045794444444444,5.738933365994079,0.000013888218745705672,-1.4820191860198975,-0.000009371133273816667,19.3,0.00484,44.3
,1.9051319444444446,6.025533225049403,0.00001394910941598937,-1.4852943420410156,-0.000009391478670295328,19.3,0.00463,44.3
,1.9057008333333334,5.723856711764963,0.000013880352526030038,-1.4870299100875854,-0.000009334208698419388,19.3,0.00485,44.3
,1.906251388888889,5.702619916716225,0.000013828853298036847,-1.4868714809417725,-0.000009300710189563688,19.3,0.00485,44.2
,1.9068008333333333,5.899098741405822,0.000013862882042303681,-1.484795331954956,-0.000009336570656159893,19.3,0.0047,44.2
,1.9079291666666667,5.868881785945974,0.00001402662746841088,-1.482953667640686,-0.00000945864576351596,19.3,0.00478,44.2
,1.908486111111111,5.811606180421741,0.000013831622709403746,-1.4870513677597046,-0.000009301317732024472,19.3,0.00476,44.2
,1.9090527777777777,5.952731630295252,0.000013899628356739413,-1.4873826503753662,-0.000009345014404971153,19.3,0.00467,44.2
,1.9096011111111113,6.20896528762509,0.000013877037417842075,-1.4841456413269043,-0.000009350285836262628,19.3,0.00447,44.2
,1.9101566666666667,5.830616618578252,0.000014022632967680693,-1.4813628196716309,-0.000009466031769989058,19.3,0.00481,44.2
,1.9107224999999999,5.7276323148961295,0.00001371767939417623,-1.4744343757629395,-0.00000930365604290273,19.3,0.00479,44.2
,1.911273888888889,5.846055788233092,0.000013884382497053593,-1.4756358861923218,-0.000009409069207322318,19.3,0.00475,44.2
